10 10
41 20 STREET
62 20 STREET
83 20 FREEPARKING
104 20 OCCUPIEDPARKING
125 20 FREEPARKING
146 20 OCCUPIEDPARKING
167 20 FREEPARKING
188 20 FREEPARKING
209 20 STREET
230 20 STREET
41 41 STREET
62 41 FREEPARKING
83 41 STREET
104 41 STREET
125 41 STREET
146 41 STREET
167 41 STREET
188 41 STREET
209 41 FREEPARKING
230 41 STREET
41 62 STREET
62 62 OCCUPIEDPARKING
83 62 STREET
104 62 STREET
125 62 STREET
146 62 STREET
167 62 STREET
188 62 STREET
209 62 FREEPARKING
230 62 STREET
41 83 STREET
62 83 FREEPARKING
83 83 STREET
104 83 STREET
125 83 STREET
146 83 STREET
167 83 STREET
188 83 STREET
209 83 OCCUPIEDPARKING
230 83 STREET
41 104 STREET
62 104 FREEPARKING
83 104 STREET
104 104 STREET
125 104 STREET
146 104 STREET
167 104 STREET
188 104 STREET
209 104 FREEPARKING
230 104 STREET
41 125 STREET
62 125 OCCUPIEDPARKING
83 125 STREET
104 125 STREET
125 125 STREET
146 125 STREET
167 125 STREET
188 125 STREET
209 125 OCCUPIEDPARKING
230 125 STREET
41 146 STREET
62 146 FREEPARKING
83 146 STREET
104 146 STREET
125 146 STREET
146 146 STREET
167 146 STREET
188 146 STREET
209 146 FREEPARKING
230 146 STREET
41 167 STREET
62 167 OCCUPIEDPARKING
83 167 STREET
104 167 STREET
125 167 STREET
146 167 STREET
167 167 STREET
188 167 STREET
209 167 OCCUPIEDPARKING
230 167 STREET
41 188 STREET
62 188 FREEPARKING
83 188 STREET
104 188 STREET
125 188 STREET
146 188 STREET
167 188 STREET
188 188 STREET
209 188 FREEPARKING
230 188 STREET
41 209 STREET
62 209 STREET
83 209 OCCUPIEDPARKING
104 209 FREEPARKING
125 209 FREEPARKING
146 209 FREEPARKING
167 209 FREEPARKING
188 209 OCCUPIEDPARKING
209 209 STREET
230 209 STREET
